original	original_phase2	gsed	gsed2	gsed3	sequential	instrument	seq_phase1	seq_phase2	label
Ma_LF_A46	Ma_LF_A48	mdtgmd032	gtogmd046	gl1gmd048	A46	LF	46	48	Stands on 1 foot > 5 seconds (2X)
Ma_LF_A49	Ma_LF_A49	mdtgmd033	gtogmd049	gl1gmd049	A49	LF	49	49	Throws ball up into the air and catches it (3X)
Ma_LF_B04	Ma_LF_B01	mdtlgd002	gtolgd004	gl1lgd001	B4	LF	53	50	Makes sounds or vocalizes (2X)
Ma_LF_B01	Ma_LF_B02	ddicmm029	gtolgd001	gl1lgd002	B1	LF	50	51	Reacts when spoken to (2X)
Ma_LF_B02	Ma_LF_B03	ddicmm030	gtolgd002	gl1lgd003	B2	LF	51	52	Smiles in response (2X)
Ma_LF_B06	Ma_LF_B04	mdtlgd003	gtolgd006	gl1lgd004	B6	LF	55	53	Laughs (2X)
Ma_LF_B03	Ma_LF_B05	mdtsed005	gtolgd003	gl1lgd005	B3	LF	52	54	Calms and quiets with caregiver
Ma_LF_B07	Ma_LF_B06	sgrred006	gtolgd007	gl1lgd006	B7	LF	56	55	Vocalizes when spoken to
Ma_LF_B05	Ma_LF_B07	denlgd007	gtolgd005	gl1lgd007	B5	LF	54	56	Turns to voice (2X)
Ma_LF_B09	Ma_LF_B08	ddicmm034	gtolgd009	gl1lgd008	B9	LF	58	57	Babbles while playing
Ma_LF_B08	Ma_LF_B09	dmclgd002	gtolgd008	gl1lgd009	B8	LF	57	58	Repeats syllables
Ma_LF_B12	Ma_LF_B10	dmclgd005	gtolgd012	gl1lgd010	B12	LF	61	59	Uses gestures to communicate
Ma_LF_B10	Ma_LF_B11	mdtlgd007	gtolgd010	gl1lgd011	B10	LF	59	60	Uses 2 - 4 syllable babble
Ma_LF_B13	Ma_LF_B12	by1mdd089	gtolgd013	gl1lgd012	B13	LF	62	61	Responds to verbal request (2X)
Ma_LF_B14	Ma_LF_B13	dmclgd006	gtolgd014	gl1lgd013	B14	LF	63	62	Uses 1 definite word
Ma_LF_B11	Ma_LF_B14	mdtlgd008	gtolgd011	gl1lgd014	B11	LF	60	63	Understands when being cautioned (2X)
Ma_LF_B15	Ma_LF_B15	by1mdd106	gtolgd015	gl1lgd015	B15	LF	64	64	Imitates simple words (2X)
Ma_LF_B20	Ma_LF_B16	mdtlgd010	gtolgd020	gl1lgd016	B20	LF	69	65	Follows simple commands (1 step) (2X)
Ma_LF_B21	Ma_LF_B17	by2mdd099	gtolgd021	gl1lgd017	B21	LF	70	66	Points to 2 pictures
Ma_LF_B18	Ma_LF_B18	ddicmd141	gtolgd018	gl1lgd018	B18	LF	67	67	Identifies 2 objects you name (2X)
Ma_LF_B26	Ma_LF_B19	mdtlgd016	gtolgd026	gl1lgd019	B26	LF	75	68	Identifies 5 objects you name (2X)
Ma_LF_B17	Ma_LF_B20	by1mdd117	gtolgd017	gl1lgd020	B17	LF	66	69	Identifies 1 item of clothing
Ma_LF_B22	Ma_LF_B21	by3red022	gtolgd022	gl1lgd021	B22	LF	71	70	Identifies 3 items of clothing
Ma_LF_B29	Ma_LF_B22	mdtlgd018	gtolgd029	gl1lgd022	B29	LF	78	71	Points to 1 or more body parts (2X)
Ma_LF_B25	Ma_LF_B23	ddicmd044	gtolgd025	gl1lgd023	B25	LF	74	72	Points at 5 pictures in book
Ma_LF_B19	Ma_LF_B24	by3cgd059	gtolgd019	gl1lgd024	B19	LF	68	73	Shows interest in story
Ma_LF_B23	Ma_LF_B25	mdtlgd015	gtolgd023	gl1lgd025	B23	LF	72	74	Follows 2-step commands (2X)
Ma_LF_B24	Ma_LF_B26	ddicmm041	gtolgd024	gl1lgd026	B24	LF	73	75	Says sentences with 2 words together
Ma_LF_B33	Ma_LF_B27	grihsd223	gtolgd033	gl1lgd027	B33	LF	82	76	Names 4 pictures
Ma_LF_B16	Ma_LF_B28	grihsd208	gtolgd016	gl1lgd028	B16	LF	65	77	Uses 5 clear words
Ma_LF_B32	Ma_LF_B29	by3cgd064	gtolgd032	gl1lgd029	B32	LF	81	78	Matches pictures
Ma_LF_B27	Ma_LF_B30	mdtlgd019	gtolgd027	gl1lgd030	B27	LF	76	79	Names 5 objects (2X)
Ma_LF_B36	Ma_LF_B31	by3exd029	gtolgd036	gl1lgd031	B36	LF	85	80	Uses multiple-word utterances
Ma_LF_B28	Ma_LF_B32	mdtlgd017	gtolgd028	gl1lgd032	B28	LF	77	81	Speaks clearly in sentences
Ma_LF_B31	Ma_LF_B33	mdtlgd021	gtolgd031	gl1lgd033	B31	LF	80	82	Knows actions or functions of 3 or more objects
Ma_LF_B38	Ma_LF_B34	by3red028	gtolgd038	gl1lgd034	B38	LF	87	83	Points to parts of whole objects
Ma_LF_B30	Ma_LF_B35	mdtlgd020	gtolgd030	gl1lgd035	B30	LF	79	84	Says first name (2X)
Ma_LF_B35	Ma_LF_B36	mdtlgd023	gtolgd035	gl1lgd036	B35	LF	84	85	Names 10 objects (2X)
Ma_LF_B47	Ma_LF_B37	teplgd018	gtolgd047	gl1lgd037	B47	LF	96	86	"Understands ""more"" (2X)"
Ma_LF_B43	Ma_LF_B38	teplgd032	gtolgd043	gl1lgd038	B43	LF	92	87	Identifies 2 or more colours (2X)
Ma_LF_B45	Ma_LF_B39	grihsd303	gtolgd045	gl1lgd039	B45	LF	94	88	Knows use of objects (2X)
Ma_LF_B49	Ma_LF_B40	teplgd031	gtolgd049	gl1lgd040	B49	LF	98	89	Names at least 2 colours (2X)
Ma_LF_B34	Ma_LF_B41	by3red029	gtolgd034	gl1lgd041	B34	LF	83	90	Identifies 5 action pictures
Ma_LF_B48	Ma_LF_B42	teplgd034	gtolgd048	gl1lgd042	B48	LF	97	91	Identifies at least 2 shapes (2X)
Ma_LF_B37	Ma_LF_B43	ddicmm047	gtolgd037	gl1lgd043	B37	LF	86	92	Talks easily about daily events
Ma_LF_B42	Ma_LF_B44	teplgd035	gtolgd042	gl1lgd044	B42	LF	91	93	Describes picture (2X)
Ma_LF_B39	Ma_LF_B45	teplgd281	gtolgd039	gl1lgd045	B39	LF	88	94	Gives logical response to a question (2X)
Ma_LF_B40	Ma_LF_B46	mdtlgd024	gtolgd040	gl1lgd046	B40	LF	89	95	Categorizes things
Ma_LF_B41	Ma_LF_B47	by3cgd068	gtolgd041	gl1lgd047	B41	LF	90	96	Matches 3 colours (2X)
Ma_LF_B44	Ma_LF_B48	mdtlgd029	gtolgd044	gl1lgd048	B44	LF	93	97	"Understands adjective ""faster"" (2X)"
Ma_LF_B46	Ma_LF_B49	by3exd037	gtolgd046	gl1lgd049	B46	LF	95	98	Names actions (5)
Ma_LF_B50	Ma_LF_B50	sbiwmd007	gtolgd050	gl1lgd050	B50	LF	99	99	Taps with 2 blocks
Ma_LF_B51	Ma_LF_B51	sbiwmd008	gtolgd051	gl1lgd051	B51	LF	100	100	Taps with 4 blocks
Ma_LF_B52	Ma_LF_B52	sbiwmd009	gtolgd052	gl1lgd052	B52	LF	101	101	Taps with 8 blocks
Ma_LF_C01	Ma_LF_C01	ddifmd001	gtofmd001	gl1fmd001	C1	LF	102	102	Fixates eyes (2X)
Ma_LF_C02	Ma_LF_C02	mdtlgd001	gtofmd002	gl1fmd002	C2	LF	103	103	Responds to sound (2X)
Ma_LF_C03	Ma_LF_C03	mdtfmd002	gtofmd003	gl1fmd003	C3	LF	104	104	Fixes and follows - 180 degrees
Ma_LF_C07	Ma_LF_C04	sgrred018	gtofmd007	gl1fmd004	C7	LF	108	105	Manipulates cup OR spoon in play
Ma_LF_C04	Ma_LF_C05	by1mdd072	gtofmd004	gl1fmd005	C4	LF	105	106	Shows interest in making a sound (2X)
Ma_LF_C06	Ma_LF_C06	by1mdd062	gtofmd006	gl1fmd006	C6	LF	107	107	Turns head towards fallen object (2X)
Ma_LF_C05	Ma_LF_C07	by1mdd058	gtofmd005	gl1fmd007	C5	LF	106	108	Discriminates strangers
Ma_LF_C10	Ma_LF_C08	by1mdd088	gtofmd010	gl1fmd008	C10	LF	111	109	Picks up cup to get block
Ma_LF_C13	Ma_LF_C09	mdtfmd012	gtofmd013	gl1fmd009	C13	LF	114	110	Finds toy under cloth (2X)
Ma_LF_C09	Ma_LF_C10	by1mdd080	gtofmd009	gl1fmd010	C9	LF	110	111	Pulls string to get object (2X)
Ma_LF_C08	Ma_LF_C11	by1mdd073	gtofmd008	gl1fmd011	C8	LF	109	112	Lifts cup by the handle (2X)
Ma_LF_C11	Ma_LF_C12	denfmd014	gtofmd011	gl1fmd012	C11	LF	112	113	Puts block in cup (2X)
Ma_LF_C12	Ma_LF_C13	denfmd013	gtofmd012	gl1fmd013	C12	LF	113	114	Bangs 2 objects together
Ma_LF_C14	Ma_LF_C14	by1mdd104	gtofmd014	gl1fmd014	C14	LF	115	115	Pats toy to make noise (2X
Ma_LF_C17	Ma_LF_C15	dmcfmd009	gtofmd017	gl1fmd015	C17	LF	118	116	Makes marks with crayon (2X)
Ma_LF_C15	Ma_LF_C16	by1mdd100	gtofmd015	gl1fmd016	C15	LF	116	117	Puts 3 or more blocks in cup
Ma_LF_C23	Ma_LF_C17	mdtfmd016	gtofmd023	gl1fmd017	C23	LF	124	118	Puts blocks in jar
Ma_LF_C21	Ma_LF_C18	by1mdd108	gtofmd021	gl1fmd018	C21	LF	122	119	Puts 1 peg in again (2X)
Ma_LF_C20	Ma_LF_C19	denfmd015	gtofmd020	gl1fmd019	C20	LF	121	120	Scribbles in any way (2X)
Ma_LF_C22	Ma_LF_C20	gricgd023	gtofmd022	gl1fmd020	C22	LF	123	121	Accepts third block without dropping (2X)
Ma_LF_C27	Ma_LF_C21	by3cgd048	gtofmd027	gl1fmd021	C27	LF	128	122	Uses objects in play by him-/herself (2X)
Ma_LF_C18	Ma_LF_C22	dmcsld019	gtofmd018	gl1fmd022	C18	LF	119	123	Manages a cup well
Ma_LF_C19	Ma_LF_C23	by1mdd098	gtofmd019	gl1fmd023	C19	LF	120	124	Holds crayon with fingers, not fist (2X)
Ma_LF_C16	Ma_LF_C24	by1mdd097	gtofmd016	gl1fmd024	C16	LF	117	125	Repeats something when encouraged (2X)
Ma_LF_C25	Ma_LF_C25	mdtfmd017	gtofmd025	gl1fmd025	C25	LF	126	126	Dumps blocks out of jar purposefully (2X)
Ma_LF_C24	Ma_LF_C26	ddifmd013	gtofmd024	gl1fmd026	C24	LF	125	127	Builds tower of 2 blocks (2X)
Ma_LF_C32	Ma_LF_C27	mdtfmd021	gtofmd032	gl1fmd027	C32	LF	133	128	Puts pegs in board < 2 minutes (2X)
Ma_LF_C28	Ma_LF_C28	by1mdd119	gtofmd028	gl1fmd028	C28	LF	129	129	Builds tower of 3 blocks (2X)
Ma_LF_C26	Ma_LF_C29	by1mdd131	gtofmd026	gl1fmd029	C26	LF	127	130	Finds object under 2 alternating cups (3X)
Ma_LF_C33	Ma_LF_C30	gricgd213	gtofmd033	gl1fmd030	C33	LF	134	131	Inserts 2 shapes in board (2X)
Ma_LF_C35	Ma_LF_C31	by3cgd056	gtofmd035	gl1fmd031	C35	LF	136	132	Inserts 3 shapes in board in 2 minutes (2X)
Ma_LF_C31	Ma_LF_C32	by3cgd053	gtofmd031	gl1fmd032	C31	LF	132	133	Uses objects in play with someone (2X)
Ma_LF_C30	Ma_LF_C33	mdtfmd019	gtofmd030	gl1fmd033	C30	LF	131	134	Scribbles on paper (circular scribble)
Ma_LF_C37	Ma_LF_C34	mdtfmd023	gtofmd037	gl1fmd034	C37	LF	138	135	Builds tower of 6 blocks (2X)
Ma_LF_C29	Ma_LF_C35	mdtfmd022	gtofmd029	gl1fmd035	C29	LF	130	136	"Understands the concept of ""1"" (2X)"
Ma_LF_C36	Ma_LF_C36	by3cgd060	gtofmd036	gl1fmd036	C36	LF	137	137	Inserts 3 shapes in rotated board in 2 minutes (2X)
Ma_LF_C43	Ma_LF_C37	by3fmd044	gtofmd043	gl1fmd037	C43	LF	144	138	Builds truck/lorry of blocks (2X)
Ma_LF_C40	Ma_LF_C38	mdtfmd025	gtofmd040	gl1fmd038	C40	LF	141	139	Unscrews and screws lid of jar (2X)
Ma_LF_C41	Ma_LF_C39	by3cgd065	gtofmd041	gl1fmd039	C41	LF	142	140	Engages in representational play
Ma_LF_C39	Ma_LF_C40	sbivsd003	gtofmd039	gl1fmd040	C39	LF	140	141	Inserts 3 shapes in 15 seconds (2X)
Ma_LF_C42	Ma_LF_C41	by3cgd067	gtofmd042	gl1fmd041	C42	LF	143	142	Copies 2-part activity (3X)
Ma_LF_C38	Ma_LF_C42	mdtfmd024	gtofmd038	gl1fmd042	C38	LF	139	143	Puts pegs in board in < 30 seconds (2X)
Ma_LF_C45	Ma_LF_C43	griehd301	gtofmd045	gl1fmd043	C45	LF	146	144	Draws horizontal line (2X)
Ma_LF_C34	Ma_LF_C44	by3cgd089	gtofmd034	gl1fmd044	C34	LF	135	145	"Understands ""more"" (3X-5X)"
Ma_LF_C44	Ma_LF_C45	ddifmd023	gtofmd044	gl1fmd045	C44	LF	145	146	Imitates building bridge (2X)
Ma_LF_C46	Ma_LF_C46	mdtfmd028	gtofmd046	gl1fmd046	C46	LF	147	147	Picks longest stick 3 of 3 (3X-5X)
Ma_LF_C49	Ma_LF_C47	ddifmd026	gtofmd049	gl1fmd047	C49	LF	150	148	Copies a circle
Ma_LF_C48	Ma_LF_C48	by3fmd050	gtofmd048	gl1fmd048	C48	LF	149	149	Builds wall of blocks (2X)
Ma_LF_C51	Ma_LF_C49	by3cgd073	gtofmd051	gl1fmd049	C51	LF	152	150	Understands concept of size (2X)
Ma_LF_C47	Ma_LF_C50	mdtlgd031	gtofmd047	gl1fmd050	C47	LF	148	151	Understands prepositions (2X)
Ma_LF_C50	Ma_LF_C51	mdtfmd033	gtofmd050	gl1fmd051	C50	LF	151	152	Copies a cross or plus sign (2X)
Ma_LF_C54	Ma_LF_C52	mdtlgd033	gtofmd054	gl1fmd052	C54	LF	155	153	Counts 3 or more objects
Ma_LF_C53	Ma_LF_C53	mdtfmd034	gtofmd053	gl1fmd053	C53	LF	154	154	Copies a square (2X)
Ma_LF_C52	Ma_LF_C54	denfmd024	gtofmd052	gl1fmd054	C52	LF	153	155	Draws 3 or more body parts
Ma_SF_C04	Ma_SF_C01	mdtsed001	gpasec004	gs1sec001	C04	SF	4	1	Does your child smile?
Ma_SF_C06	Ma_SF_C02	cromoc008	gpamoc006	gs1moc002	C06	SF	6	2	When lying on his/her back, does your child move his/her arms and legs?
Ma_SF_C15	Ma_SF_C03	crosec002	gpasec015	gs1sec003	C15	SF	15	3	Does your child look at your face when you speak to him/her?
Ma_SF_C01	Ma_SF_C04	gsdlac001	gpalac001	gs1lgc004	C01	SF	1	4	Does your child cry when he/she is hungry, wet, tired, or wants to be held?
Ma_SF_C03	Ma_SF_C05	gsdfmc003	gpafmc003	gs1moc005	C03	SF	3	5	Does your child grasp your finger if you touch her hand?
Ma_SF_C02	Ma_SF_C06	gsdcgc002	gpacgc002	gs1cgc006	C02	SF	2	6	Does your child look at and focus on objects in front of him/her?
Ma_SF_C11	Ma_SF_C07	cromoc007	gpamoc011	gs1moc007	C11	SF	11	7	Does your child bring his/her hand to his/her mouth?
Ma_SF_C05	Ma_SF_C08	iyomoc001	gpamoc005	gs1moc008	C05	SF	5	8	Does your child try to move his/her head (or eyes) to follow an object or person?
Ma_SF_C10	Ma_SF_C09	iyosec004	gpasec010	gs1sec009	C10	SF	10	9	Does your child smile when you smile or talk with him/her?
Ma_SF_C07	Ma_SF_C10	croclc001	gpaclc007	gs1lgc010	C07	SF	7	10	Does your child look at a person when that person starts talking or making noise? 
Ma_SF_C16	Ma_SF_C11	iyosec001	gpasec016	gs1sec011	C16	SF	16	11	Does your child stop crying or calm down when you come to the room after being out of sight, or when you pick him or her up?
Ma_SF_C12	Ma_SF_C12	iyolgc002	gpalgc012	gs1lgc012	C12	SF	12	12	When you talk to your child, does he/she smile, make noises, or move arms, legs or trunk in response?
Ma_SF_C14	Ma_SF_C13	iyosec002	gpasec014	gs1sec013	C14	SF	14	13	When you are about to pick up your child, does he/she act happy or excited?
Ma_SF_C21	Ma_SF_C14	iyolgc001	gpalgc021	gs1lgc014	C21	SF	21	14	Does your child turn his/her head towards your voice or some noise?
Ma_SF_C26	Ma_SF_C15	cromoc006	gpamoc026	gs1moc015	C26	SF	26	15	Does your child grasp onto a small object (e.g., your finger, a spoon) when put in his/her hand? 
Ma_SF_C09	Ma_SF_C16	gsdlac004	gpalac009	gs1lgc016	C09	SF	9	16	Does your child make sounds other than crying?
Ma_SF_C20	Ma_SF_C17	crosec004	gpasec020	gs1sec017	C20	SF	20	17	Does your child sometimes suck his/her thumb or fingers? 
Ma_SF_C17	Ma_SF_C18	iyomoc002	gpamoc017	gs1moc018	C17	SF	17	18	While your child is on his/her back, can he/she bring his/her hands together such that hands touch each other ?
Ma_SF_C25	Ma_SF_C19	iyosec005	gpasec025	gs1sec019	C25	SF	25	19	Does your child move excitedly, kick legs, move arms or trunk, or make coo noises when a known person enters the room or speaks to them?
Ma_SF_C19	Ma_SF_C20	iyolgc005	gpalgc019	gs1lgc020	C19	SF	19	20	Does your child make noise or gesture to get your attention?
Ma_SF_C31	Ma_SF_C21	iyosec003	gpasec031	gs1sec021	C31	SF	31	21	If you play a game with your child, does he/she respond with interest? For example, if you play peek-a-boo, pat-a-cake, wave bye-bye, etc. does your child smile, widen their eyes, kick or move arms or vocalize?
Ma_SF_C33	Ma_SF_C22	croclc014	gpaclc033	gs1sec022	C33	SF	33	22	Does your child recognize you or other family members (e.g., smile when they enter a room or move toward them)? 
Ma_SF_C23	Ma_SF_C23	croclc006	gpaclc023	gs1lgc023	C23	SF	23	23	Does your child laugh?
Ma_SF_C32	Ma_SF_C24	crosec003	gpasec032	gs1sec024	C32	SF	32	24	Does your child smile or become excited when seeing someone familiar? 
Ma_SF_C13	Ma_SF_C25	gsdgmc005	gpagmc013	gs1moc025	C13	SF	13	25	When your child is on his/her stomach, can he/she turn his/her head to the side?
Ma_SF_C22	Ma_SF_C26	iyolgc003	gpalgc022	gs1lgc026	C22	SF	22	26	Does your child make sounds other than crying when LOOKING at toys or people?
Ma_SF_C45	Ma_SF_C27	iyosec006	gpasec045	gs1sec027	C45	SF	45	27	Is your child interested when he/she sees other children playing? Does she or he watch, smile, or look excited?
Ma_SF_C08	Ma_SF_C28	cromoc001	gpamoc008	gs1moc028	C08	SF	8	28	Does your child hold his/her hands in fists all the time? 
Ma_SF_C24	Ma_SF_C29	iyomoc004	gpamoc024	gs1moc029	C24	SF	24	29	Can your child hold his/her head steady for at least a few seconds, without it flopping to the side?
Ma_SF_C37	Ma_SF_C30	cromoc002	gpamoc037	gs1moc030	C37	SF	37	30	When held in a sitting position, can the child hold his/her head steady and straight?
Ma_SF_C18	Ma_SF_C31	gsdgmc006	gpagmc018	gs1moc031	C18	SF	18	31	When your child is on his/her stomach, can he/she hold his/her head up off the ground?
Ma_SF_C34	Ma_SF_C32	croclc004	gpaclc034	gs1cgc032	C34	SF	34	32	Does your child show interest in new objects that are put in front of him/her by reaching out for them?
Ma_SF_C29	Ma_SF_C33	iyomoc005	gpamoc029	gs1moc033	C29	SF	29	33	When he/she is on his/her tummy, can your child hold his/her head straight up, looking around for more than a few seconds? He/she can rest on his/her arms while doing this.
Ma_SF_C30	Ma_SF_C34	gsdgmc007	gpagmc030	gs1moc034	C30	SF	30	34	Can your child roll from his/her back to stomach or stomach to his/her side? 
Ma_SF_C35	Ma_SF_C35	iyomoc007	gpamoc035	gs1moc035	C35	SF	35	35	Can your child reach for AND HOLD an object, at least for a few seconds?
Ma_SF_C39	Ma_SF_C36	mdtsed006	gpasec039	gs1lic036	C39	SF	39	36	Can your child eat food from your fingers or off a spoon you hold?
Ma_SF_C27	Ma_SF_C37	iyolgc004	gpalgc027	gs1lgc037	C27	SF	27	37	"Does your child make single sounds like ""buh"" or ""duh"" or ""muh""?"
Ma_SF_C44	Ma_SF_C38	iyomoc008	gpamoc044	gs1moc038	C44	SF	44	38	Can your child sit with support, either leaning against something (furniture or person), or by leaning forward on his or her hands?
Ma_SF_C28	Ma_SF_C39	iyomoc006	gpamoc028	gs1moc039	C28	SF	28	39	Does your child try to reach for objects that are in front of him/her by extending one or both arms?
Ma_SF_C40	Ma_SF_C40	cromoc012	gpamoc040	gs1moc040	C40	SF	40	40	Can your child pick up a small object (e.g., a small toy or small stone) using just one hand?
Ma_SF_C42	Ma_SF_C41	cromoc005	gpamoc042	gs1moc041	C42	SF	42	41	When lying on his/her stomach, can your child hold his/her head and chest off the ground using only his/her hands and arms for support? 
Ma_SF_C41	Ma_SF_C42	iyomoc009	gpamoc041	gs1cgc042	C41	SF	41	42	If an object falls to the ground out of view, does your child look for it?
Ma_SF_C43	Ma_SF_C43	cromoc009	gpamoc043	gs1moc043	C43	SF	43	43	When lying on his/her back, does the child grab his/her feet? 
Ma_SF_C38	Ma_SF_C44	cromoc010	gpamoc038	gs1moc044	C38	SF	38	44	Can your child roll from his/her back to stomach, or stomach to back, on his/her own? 
Ma_SF_C47	Ma_SF_C45	croclc007	gpaclc047	gs1moc045	C47	SF	47	45	Does your child play by tapping an object on the ground or a table? 
Ma_SF_C46	Ma_SF_C46	croclc008	gpaclc046	gs1cgc046	C46	SF	46	46	Does the child look for an object of interest when it is removed from sight or hidden from him/her (e.g., put under a cover, behind another object)? 
